기준연도,공시연도,자료연도,취업성과_자료시차,대학명,지역,설립구분,수도권/지방,대표/비교,분석그룹,입학정원,모집인원,지원자,입학자,정원내 신입생 충원율(%),경쟁률,졸업자,취업자,진학자,입대자,취업불가능자,외국인유학생,제외인정자,취업률_계산분모,취업률(%),취업률_원자료_평균,진학률(%),유지취업률_평균,졸업자_대비_취업자비율,졸업자_대비_진학자비율
2025,2025,2024,1,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4498,4468,40012,4457,99.8,9.0,4176,1912,696,53,1,101,0,3325,57.5,57.5,16.67,88.18,45.79,16.67
2023,2023,2022,1,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470,1508,6659,1503,99.7,4.4,1775,930,22,17,1,158,30,1547,60.12,60.1,1.24,77.16,52.39,1.24
2024,2024,2023,1,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470,1501,5303,1484,98.9,3.5,1546,805,32,3,0,125,16,1370,58.76,58.8,2.07,74.34,52.07,2.07
2025,2025,2024,1,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470,1471,5320,1472,100.1,3.6,1531,766,30,12,1,146,1,1341,57.12,57.1,1.96,75.73,50.03,1.96
2023,2023,2022,1,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2148,2152,26611,2151,100.0,12.4,2481,1564,207,7,0,70,9,2188,71.48,71.5,8.34,89.93,63.04,8.34
2024,2024,2023,1,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2177,2179,28203,2178,100.0,12.9,2163,1253,214,4,1,74,6,1864,67.22,67.2,9.89,89.26,57.93,9.89
2025,2025,2024,1,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2227,2228,30229,2226,99.9,13.6,2285,1198,282,11,0,109,0,1883,63.62,63.6,12.34,90.12,52.43,12.34
2023,2023,2022,1,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3233,3237,17565,3236,100.0,5.4,3330,1633,924,44,1,31,6,2324,70.27,70.3,27.75,91.27,49.04,27.75
2024,2024,2023,1,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3451,3457,25303,3450,99.8,7.3,3113,1463,977,38,2,37,8,2051,71.33,71.3,31.38,86.81,47.0,31.38
2025,2025,2024,1,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3476,3477,24799,3465,99.7,7.1,3188,1361,994,69,0,49,0,2076,65.56,65.6,31.18,88.51,42.69,31.18
2023,2023,2022,1,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3335,3349,62964,3341,99.8,18.8,4664,2528,609,31,1,716,1,3306,76.47,76.5,13.06,92.83,54.2,13.06
2024,2024,2023,1,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3447,3451,73237,3432,99.4,21.2,4122,2231,568,27,3,499,3,3022,73.83,73.8,13.78,91.44,54.12,13.78
2025,2025,2024,1,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3555,3552,79579,3529,99.4,22.4,4124,2072,742,30,1,446,0,2905,71.33,71.3,17.99,91.92,50.24,17.99
2023,2023,2022,1,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3471,3480,31832,3466,99.6,9.1,4351,2344,756,39,2,234,12,3308,70.86,70.9,17.38,90.89,53.87,17.38
2024,2024,2023,1,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3495,3506,38171,3488,99.5,10.9,4030,2055,828,43,1,280,8,2870,71.6,71.6,20.55,86.67,50.99,20.55
2025,2025,2024,1,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3555,3569,41033,3622,101.5,11.5,4204,1961,928,74,2,285,0,2915,67.27,67.3,22.07,90.72,46.65,22.07
2023,2023,2022,1,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1331,1331,5669,1206,90.6,4.3,1414,885,18,15,0,78,20,1283,68.98,69.2,1.27,83.72,62.59,1.27
2024,2024,2023,1,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1331,1331,4766,1250,93.9,3.6,1339,802,25,20,2,88,18,1186,67.62,67.9,1.87,79.58,59.9,1.87
2025,2025,2024,1,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1294,1294,5120,1291,99.8,4.0,1392,837,18,14,0,95,0,1265,66.17,66.55,1.29,81.87,60.13,1.29
2023,2023,2022,1,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2727,2753,12561,2730,99.2,4.6,2962,1653,168,12,1,50,11,2720,60.77,60.8,5.67,85.87,55.81,5.67
2024,2024,2023,1,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2657,2515,11518,2512,99.9,4.6,2805,1469,151,14,0,85,19,2536,57.93,57.9,5.38,82.47,52.37,5.38
2025,2025,2024,1,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2737,2579,13059,2565,99.5,5.1,2684,1367,169,29,0,81,0,2405,56.84,56.8,6.3,84.43,50.93,6.3
2023,2023,2022,1,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,325,325,2569,325,100.0,7.9,464,295,9,3,1,36,4,411,71.78,71.8,1.94,83.61,63.58,1.94
2024,2024,2023,1,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,345,345,2208,345,100.0,6.4,425,283,9,2,0,3,2,409,69.19,69.2,2.12,82.1,66.59,2.12
