year,university,region,foundation_type,metro_local,representative_group,analysis_group,admission_quota,recruitment_quota,applicants,entrants,fill_rate,competition_rate,graduates,employed,advanced,employment_rate,advancement_rate,applicants_per_recruitment,entrants_per_recruitment
2024,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1501.0,5303.0,1484.0,98.9,3.5,1546.0,805.0,32.0,58.76,2.07,3.532978014656895,0.988674217188541
2025,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1470.0,1471.0,5320.0,1472.0,100.1,3.6,1531.0,766.0,30.0,57.12,1.96,3.6165873555404486,1.0006798096532972
2023,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2148.0,2152.0,26611.0,2151.0,100.0,12.4,2481.0,1564.0,207.0,71.48,8.34,12.365706319702602,0.9995353159851301
2024,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2177.0,2179.0,28203.0,2178.0,100.0,12.9,2163.0,1253.0,214.0,67.22,9.89,12.943093162000919,0.9995410738871042
2025,서울과학기술대학교,서울,국립,수도권,대표대학,수도권-국립-대표,2227.0,2228.0,30229.0,2226.0,99.9,13.6,2285.0,1198.0,282.0,63.62,12.34,13.567773788150808,0.9991023339317774
2023,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3233.0,3237.0,17565.0,3236.0,100.0,5.4,3330.0,1633.0,924.0,70.27,27.75,5.426320667284522,0.9996910719802286
2024,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3451.0,3457.0,25303.0,3450.0,99.8,7.3,3113.0,1463.0,977.0,71.33,31.38,7.319352039340469,0.9979751229389644
2025,서울대학교,서울,국립대법인,수도권,대표대학,수도권-국립-대표,3476.0,3477.0,24799.0,3465.0,99.7,7.1,3188.0,1361.0,994.0,65.56,31.18,7.1322979580097785,0.996548748921484
2023,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3335.0,3349.0,62964.0,3341.0,99.8,18.8,4664.0,2528.0,609.0,76.47,13.06,18.800836070468797,0.9976112272320096
2024,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3447.0,3451.0,73237.0,3432.0,99.4,21.2,4122.0,2231.0,568.0,73.83,13.78,21.221964647928136,0.9944943494639235
2025,성균관대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3555.0,3552.0,79579.0,3529.0,99.4,22.4,4124.0,2072.0,742.0,71.33,17.99,22.40399774774775,0.9935247747747747
2023,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3471.0,3480.0,31832.0,3466.0,99.6,9.1,4351.0,2344.0,756.0,70.86,17.38,9.14712643678161,0.9959770114942529
2024,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3495.0,3506.0,38171.0,3488.0,99.5,10.9,4030.0,2055.0,828.0,71.6,20.55,10.887335995436395,0.9948659440958357
2025,연세대학교,서울,사립,수도권,대표대학,수도권-사립-대표,3555.0,3569.0,41033.0,3622.0,101.5,11.5,4204.0,1961.0,928.0,67.27,22.07,11.497057999439619,1.0148500980666852
2023,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1331.0,1331.0,5669.0,1206.0,90.6,4.3,1414.0,885.0,18.0,68.98,1.27,4.259203606311044,0.9060856498873028
2024,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1331.0,1331.0,4766.0,1250.0,93.9,3.6,1339.0,802.0,25.0,67.62,1.87,3.5807663410969197,0.9391435011269722
2025,영산대학교,경남,사립,지방,비교대학,지방-사립-비교,1294.0,1294.0,5120.0,1291.0,99.8,4.0,1392.0,837.0,18.0,66.17,1.29,3.956723338485317,0.9976816074188563
2023,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2727.0,2753.0,12561.0,2730.0,99.2,4.6,2962.0,1653.0,168.0,60.77,5.67,4.562658917544497,0.9916454776607337
2024,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2657.0,2515.0,11518.0,2512.0,99.9,4.6,2805.0,1469.0,151.0,57.93,5.38,4.5797216699801195,0.9988071570576541
2025,울산대학교,울산,사립,지방,대표대학,지방-사립-대표,2737.0,2579.0,13059.0,2565.0,99.5,5.1,2684.0,1367.0,169.0,56.84,6.3,5.063590538968593,0.9945715393563397
2023,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,325.0,325.0,2569.0,325.0,100.0,7.9,464.0,295.0,9.0,71.78,1.94,7.904615384615385,1.0
2024,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,345.0,345.0,2208.0,345.0,100.0,6.4,425.0,283.0,9.0,69.19,2.12,6.4,1.0
2025,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,345.0,345.0,2541.0,345.0,100.0,7.4,491.0,336.0,12.0,71.64,2.44,7.3652173913043475,1.0
