model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std
Random_Forest,1.999565215915089,0.7797865596543141,2.995281753571306,1.452775201757089,0.4109206827812962,0.2017267250216871
Linear_Regression,2.916860302620541,0.4604128501810814,3.935668092027453,1.0103828311531238,-0.5125952645549351,1.11554751052644
Baseline_Mean,2.9458843043748706,0.9280747377884886,3.950830664588039,1.7783758335668451,-0.0613073554288044,0.0539647728302342
Ridge_Regression,2.74597698828059,0.7464123170944278,3.959307764293392,1.4367297476784648,-0.2654658624049852,0.8069651728199682
