model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2
Random_Forest,0.6765841059749513,1.4556353658942052,0.5160316481372375,0.8072540958529143,1.6278049982447382,0.4748546217595777
Linear_Regression,0.9732423588567012,1.5783910170960411,0.4309623963514053,1.1227453426610632,1.6612143719623091,0.453077044754233
Ridge_Regression,0.977193166558468,1.6610706133357491,0.3697861321140716,1.0776661019521243,1.831291718639973,0.3353548266506768
Baseline_Mean,1.010245730945445,2.0923971374776387,0.0,1.127490996398565,2.263919521985834,-0.0157732255669613
