strategy_rank,university,strategy_score,strategy_type,avg_fill_rate,std_fill_rate,avg_competition_rate,avg_employment_rate,avg_advancement_rate
1,성균관대학교,0.9504627418024325,취업성과 기반 잠재형,99.53333333333335,0.23094010767584025,20.8,73.87666666666667,14.943333333333333
2,서울과학기술대학교,0.805214634449596,충원 안정·수요 강세형,99.96666666666665,0.05773502691895929,12.966666666666667,67.44,10.19
3,강서대학교,0.7903573223907278,입시 수요 강세형,100.13333333333333,0.23094010767585463,12.033333333333333,66.62666666666667,5.19
4,연세대학교,0.7824290950289405,입시 수요 강세형,100.2,1.126942766958464,10.5,69.91,20.0
5,고려대학교,0.7706603791996869,취업성과 기반 잠재형,99.46666666666665,0.4932882862316212,11.633333333333333,70.38000000000001,20.653333333333332
6,창신대학교,0.757677907053846,충원 안정형,100.0,0.0,7.233333333333334,70.87,2.1666666666666665
7,서울대학교,0.716001982612416,충원 안정형,99.83333333333333,0.15275252316520072,6.6000000000000005,69.05333333333333,30.103333333333335
8,경북대학교,0.7109927664832439,충원 안정·수요 강세형,99.90000000000002,0.0,11.966666666666669,59.57333333333333,12.403333333333334
9,충남대학교,0.7009659447158041,충원 안정·수요 강세형,99.86666666666667,0.11547005383792884,9.066666666666668,63.449999999999996,13.376666666666665
10,평택대학교,0.67749425567936,충원 안정·수요 강세형,100.13333333333333,0.11547005383792884,7.833333333333333,61.096666666666664,1.6866666666666668
11,부산대학교,0.6626030990609897,관찰 필요형,99.76666666666667,0.05773502691895929,9.433333333333332,59.48333333333333,13.57
12,한남대학교,0.6559475663178157,충원 안정형,99.93333333333334,0.05773502691895929,5.033333333333333,64.33666666666667,5.359999999999999
13,동아대학교,0.6137353555962215,충원 안정형,99.83333333333333,0.11547005383792781,6.333333333333333,58.846666666666664,5.333333333333333
14,협성대학교,0.6121959324644144,관찰 필요형,99.43333333333334,0.7371114795831977,7.8,60.723333333333336,4.696666666666666
15,부경대학교,0.6107392074822323,관찰 필요형,99.76666666666667,0.2516611478423544,8.0,56.803333333333335,8.883333333333333
16,경성대학교,0.5705198817002223,입학성과 보완 필요형,99.60000000000001,0.2645751311064608,6.433333333333334,56.20333333333334,2.723333333333333
17,경상국립대학교,0.5672912369256695,충원 안정형,99.89999999999999,0.17320508075689225,6.633333333333333,53.306666666666665,11.306666666666667
18,울산대학교,0.5619329975421603,입학성과 보완 필요형,99.53333333333335,0.3511884584284232,4.766666666666667,58.51333333333334,5.783333333333334
19,부산외국어대학교,0.5455899835345089,입학성과 보완 필요형,99.56666666666666,0.6110100926607711,3.8333333333333335,58.666666666666664,1.7566666666666666
20,대구대학교,0.3787075244328237,입학성과 보완 필요형,97.60000000000001,1.9157244060668024,5.066666666666666,56.21333333333333,3.6300000000000003
21,영산대학교,0.21995828362453668,취업성과 기반 잠재형,94.76666666666667,4.660829682935575,3.966666666666667,67.59,1.4766666666666666
22,동명대학교,0.11914939610746639,입학성과 보완 필요형,94.13333333333333,6.206716791777536,5.633333333333333,62.833333333333336,1.4366666666666665
