university,avg_fill_rate,std_fill_rate,min_fill_rate,max_fill_rate,avg_competition_rate,std_competition_rate,avg_employment_rate,std_employment_rate,avg_advancement_rate,std_advancement_rate,region,foundation_type,metro_local,representative_group,analysis_group,fill_score,competition_score,employment_score,stability_score,strategy_score,strategy_rank,fill_rate_rank,competition_rank,employment_rank,strategy_type,strategy_insight
경성대학교,99.36666666666667,0.23094010767585463,99.1,99.5,6.169999999999999,0.22516660498395386,49.17666666666667,1.6241100126941346,2.1866666666666665,0.9415589908940031,부산,사립,지방,대표대학,지방-사립-대표,0.9356321839080467,0.18139223560910298,0.0,0.9739528347195052,0.5656938576734202,13,7,15,22,충원 안정형,신입생 충원율이 안정적으로 유지되는 유형이다. 급격한 모집 확대보다는 안정적인 지원자 풀 관리와 학과별 강점 홍보가 적절하다.
울산대학교,97.3,0.6082762530298207,96.6,97.7,4.63,0.28000000000000025,58.78666666666667,2.8785470872183696,6.236666666666667,1.0038094108611124,울산,사립,지방,대표대학,지방-사립-대표,0.7931034482758621,0.07831325301204815,0.42959320518551636,0.9313940213403463,0.5624474368015121,14,14,20,10,입학성과 보완 필요형,"충원율과 경쟁률이 모두 상대적으로 낮은 유형이다. 모집단위별 수요 점검, 지역 맞춤 홍보, 전형 구조 개선 등 보완 전략이 필요하다."
경상국립대학교,97.43333333333334,0.37859388972001673,97.0,97.7,6.390000000000001,0.2487971060924948,53.54666666666666,0.9928914005737639,11.11,0.7960527620704548,경남,국립,지방,대표대학,지방-국립-대표,0.8022988505747131,0.1961178045515395,0.19535091640590035,0.9572993287352064,0.5526140739592311,15,13,14,18,입학성과 보완 필요형,"충원율과 경쟁률이 모두 상대적으로 낮은 유형이다. 모집단위별 수요 점검, 지역 맞춤 홍보, 전형 구조 개선 등 보완 전략이 필요하다."
동아대학교,96.86666666666667,1.2096831541082633,95.5,97.8,5.98,0.14798648586948793,55.57666666666666,2.038659690417541,4.693333333333333,0.7987698875980073,부산,사립,지방,대표대학,지방-사립-대표,0.7632183908045984,0.1686746987951807,0.28609745194456826,0.8635628199484792,0.5342099444018201,16,15,16,16,입학성과 보완 필요형,"충원율과 경쟁률이 모두 상대적으로 낮은 유형이다. 모집단위별 수요 점검, 지역 맞춤 홍보, 전형 구조 개선 등 보완 전략이 필요하다."
강서대학교,92.93333333333334,1.1930353445448825,92.1,94.3,8.389999999999999,1.2504799078753712,56.28666666666667,3.280096543294622,4.82,3.2224679982895093,서울,사립,수도권,비교대학,수도권-사립-비교,0.4919540229885062,0.32998661311914307,0.31783638801966924,0.8654404853380884,0.47266161287983544,17,19,8,15,관찰 필요형,일부 지표는 양호하지만 뚜렷한 유형으로 분류되지는 않는 대학이다. 세부 학과 단위 분석과 연도별 변화 추적이 필요하다.
협성대학교,95.16666666666667,3.2868424564212617,92.4,98.8,7.403333333333333,0.5750072463311516,51.65,2.7937251117459634,5.79,2.226634231300686,경기,사립,수도권,비교대학,수도권-사립-비교,0.6459770114942534,0.2639446675591253,0.11056474444941124,0.6292851442092613,0.44088269200875413,18,18,11,21,관찰 필요형,일부 지표는 양호하지만 뚜렷한 유형으로 분류되지는 않는 대학이다. 세부 학과 단위 분석과 연도별 변화 추적이 필요하다.
부산외국어대학교,95.23333333333333,1.644181660685135,94.0,97.1,3.59,0.49426713425029595,51.75,3.761435896037577,1.9100000000000001,0.8970507232035434,부산,사립,지방,대표대학,지방-사립-대표,0.6505747126436784,0.008701472556894206,0.11503501713604519,0.8145568048009457,0.40759577734404573,19,17,21,20,입학성과 보완 필요형,"충원율과 경쟁률이 모두 상대적으로 낮은 유형이다. 모집단위별 수요 점검, 지역 맞춤 홍보, 전형 구조 개선 등 보완 전략이 필요하다."
대구대학교,90.5,2.007485989988473,89.1,92.8,4.6466666666666665,0.2569695182961074,53.580000000000005,2.2192791622506594,3.3966666666666665,0.16165807537309496,경북,사립,지방,대표대학,지방-사립-대표,0.32413793103448296,0.07942882641677818,0.19684100730144552,0.7735806053537471,0.3049176712813389,20,21,19,17,입학성과 보완 필요형,"충원율과 경쟁률이 모두 상대적으로 낮은 유형이다. 모집단위별 수요 점검, 지역 맞춤 홍보, 전형 구조 개선 등 보완 전략이 필요하다."
동명대학교,91.26666666666667,5.960145412096358,84.4,95.1,5.38,0.46765371804359723,57.20333333333334,2.7836007855533698,1.14,0.2605762844159077,부산,사립,지방,비교대학,지방-사립-비교,0.37701149425287367,0.12851405622489956,0.3588138876471467,0.32776989580970983,0.30386137365826016,21,20,17,13,입학성과 보완 필요형,"충원율과 경쟁률이 모두 상대적으로 낮은 유형이다. 모집단위별 수요 점검, 지역 맞춤 홍보, 전형 구조 개선 등 보완 전략이 필요하다."
영산대학교,85.8,8.86622805932714,75.7,92.3,3.4600000000000004,0.5910160742314883,59.39333333333334,4.887702254979668,1.2366666666666666,0.7478190511971018,경남,사립,지방,비교대학,지방-사립-비교,0.0,0.0,0.4567128594844287,0.0,0.09134257189688574,22,22,22,9,입학성과 보완 필요형,"충원율과 경쟁률이 모두 상대적으로 낮은 유형이다. 모집단위별 수요 점검, 지역 맞춤 홍보, 전형 구조 개선 등 보완 전략이 필요하다."
