university,fill_rate,employment_rate,advancement_rate,competition_rate
연세대학교,100.2,69.91,20.0,10.5
강서대학교,100.13333333333333,66.62666666666667,5.19,12.033333333333333
평택대학교,100.13333333333333,61.096666666666664,1.6866666666666668,7.833333333333333
창신대학교,100.0,70.87,2.1666666666666665,7.233333333333334
서울과학기술대학교,99.96666666666665,67.44,10.19,12.966666666666667
한남대학교,99.93333333333334,64.33666666666667,5.359999999999999,5.033333333333333
경북대학교,99.90000000000002,59.57333333333333,12.403333333333334,11.966666666666669
경상국립대학교,99.89999999999999,53.306666666666665,11.306666666666667,6.633333333333333
충남대학교,99.86666666666667,63.449999999999996,13.376666666666665,9.066666666666668
서울대학교,99.83333333333333,69.05333333333333,30.103333333333335,6.6000000000000005
동아대학교,99.83333333333333,58.846666666666664,5.333333333333333,6.333333333333333
부경대학교,99.76666666666667,56.803333333333335,8.883333333333333,8.0
부산대학교,99.76666666666667,59.48333333333333,13.57,9.433333333333332
경성대학교,99.60000000000001,56.20333333333334,2.723333333333333,6.433333333333334
부산외국어대학교,99.56666666666666,58.666666666666664,1.7566666666666666,3.8333333333333335
성균관대학교,99.53333333333335,73.87666666666667,14.943333333333333,20.8
울산대학교,99.53333333333335,58.51333333333334,5.783333333333334,4.766666666666667
고려대학교,99.46666666666665,70.38000000000001,20.653333333333332,11.633333333333333
협성대학교,99.43333333333334,60.723333333333336,4.696666666666666,7.8
대구대학교,97.60000000000001,56.21333333333333,3.6300000000000003,5.066666666666666
영산대학교,94.76666666666667,67.59,1.4766666666666666,3.966666666666667
동명대학교,94.13333333333333,62.833333333333336,1.4366666666666665,5.633333333333333
