variable,coefficient,std_error,t_value,p_value
Intercept,102.89989188177137,3.1266840552765904,32.9102301552079,4.212864131056899e-40
C(year)[T.2024],0.48748152101654707,0.6244461324701753,0.7806622471792314,0.4380703516191927
C(year)[T.2025],0.6560069460254789,0.653194108396993,1.0043062813830164,0.3192642115653248
employment_rate,-0.0935146400417145,0.05220802750685799,-1.7911927438635853,0.07830635020322484
advancement_rate,0.062385062683881276,0.038166167571668345,1.6345645018388273,0.10737687256883924
competition_rate,0.15256838216283555,0.07834145347508795,1.9474795959887476,0.05616124412571134
