,count,mean,std,min,25%,50%,75%,max
fill_rate,66.0,96.82424242424241,4.251807239500023,75.7,95.19999999999999,97.8,99.5,101.9
employment_rate,66.0,58.44106060606061,5.893914757230645,47.69,53.985,57.94,62.0025,74.54
advancement_rate,66.0,9.521818181818185,8.548004519110952,0.79,2.8499999999999996,7.275,13.155000000000001,34.61
competition_rate,66.0,7.673787878787879,3.3962697931934835,2.89,5.4625,6.985,8.64,19.47
